drugbank_id,PubChemCID,smiles
DB03068,PubChemCID:100016,C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O
DB01556,PubChemCID:10007,CC(C)(CC1=CC=C(C=C1)Cl)N
DB05779,PubChemCID:100094,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)NC(=O)C(CCC(=O)O)N
DB04325,PubChemCID:1001,C1=CC=C(C=C1)CCN
DB15887,PubChemCID:10011857,C[N+](C)(C)CCF
DB05152,PubChemCID:10013505,CCC1C(=O)NC2(S1)CCN(CC2)C
DB05284,PubChemCID:100154,COC1=C(C=C(C=C1)CC(C2=CC(=C(C(=C2)OC)OC)OC)O)O
DB05565,PubChemCID:10016012,CN(C)CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl
DB07283,PubChemCID:10017976,C1CCC2=C(C1)C3=C(N2CC4=CC=CC=C4)C(=CC=C3)C(=O)O
DB08432,PubChemCID:10019998,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=S)(O)O)O
DB15167,PubChemCID:10021692,COC1=CC(=CC(=C1OC)C(=O)NCC2CCCN2CC=C)CCCF
DB07271,PubChemCID:10024590,C1CNC(=O)C(N(C1)C(=O)CC(CC2=CC(=C(C=C2F)F)F)N)CC(F)(F)F
DB14663,PubChemCID:100252,C1=NC(=NN1C2C(C(C(O2)COP(=O)(O)O)O)O)C(=O)N
DB13097,PubChemCID:10025615,CCC(CCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)C(C)C
DB01612,PubChemCID:10026,CCCCCON=O
DB12719,PubChemCID:10026128,CC(C)OC(=O)C1=CN(CC(C2=C1NC3=CC=CC=C32)(C)C)C(=O)C4=CC(=C(C=C4)F)F
DB11913,PubChemCID:10029385,C1CCN(CC1)C(=O)N2CCN3C=C(C4=CC(=CC(=C43)C2)F)C5=C(C(=O)NC5=O)C6=CN=C7N6C=CC=C7
DB13046,PubChemCID:100299,C1C2C(C(C(O2)N3C4=NC=NC(=C4N=C3Cl)N)O)OP(=O)(O1)O
DB02831,PubChemCID:1003,OP(=O)(O)[O-]
DB07040,PubChemCID:10038928,C1=CC2=C(C=C1F)C(=O)C3=CC(=C(N=C3O2)N)C(=O)N
DB08030,PubChemCID:10039403,C1=CC(=CC=C1C#N)C2=CC=C(C=C2)OCCC(=O)NO
DB01543,PubChemCID:10039774,CCC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34
DB09394,PubChemCID:1004,OP(=O)(O)O
DB11372,PubChemCID:10041070,CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2(CC=C)O
DB07052,PubChemCID:10041129,CCSCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
DB05668,PubChemCID:100427,C(CCl)NP(=O)(NCCCl)O
DB08539,PubChemCID:10042950,C1CC1C2=C3N=C(C=C(N3N=C2)NCC4=CN=CC=C4)C5=CC=CC=C5
DB13371,PubChemCID:100472,C1=CC=C(C=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=CC=N3
DB01819,PubChemCID:1005,C=C(C(=O)O)OP(=O)(O)O
DB01940,PubChemCID:10050566,C1CC(C(CNC1)NC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC=C(C=C3)C(=O)C4=CC=CC=C4O
DB11745,PubChemCID:10052040,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N
DBSALT001369,PubChemCID:10056264,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)N(C)C(=O)C)I.CNCC(C(C(C(CO)O)O)O)O
DB07489,PubChemCID:10062702,C1=CC(=CC(=C1)Cl)NC2=[NH+]C(=C(S2)C(=O)C3=CC=C(C=C3)F)N
DB07592,PubChemCID:10062713,CCCCC(C=O)NC(=O)OC(CC1=CC=CC=C1)C(C)C
DB07593,PubChemCID:10062714,CCCCC(C=O)NC(=O)OC1(CCCC1)CC2=CC=CC=C2
DB07730,PubChemCID:10062718,C1=CC(=CC(=C1)O)C2=CC(=O)NS2(=O)=O
DB02235,PubChemCID:10062737,CS(=O)CCC(C(=O)O)N
DB07649,PubChemCID:10067695,C1C(C(CN1CC2=CNC3=C2N=CN=C3N)O)CSCC4=CC=CC=C4
DB09174,PubChemCID:10070040,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2C)CCC3=CC=CC=C3)C(=O)OC
DB05316,PubChemCID:10071196,CC(C)COC1=CC=C(C=C1)CNC(=O)N(CC2=CC=C(C=C2)F)C3CCN(CC3)C
DB02289,PubChemCID:100714,C(C(=O)O)(C(=O)O)N
DB07117,PubChemCID:10072851,C1CN(CCN1C2=NC=CC=N2)C3(C(=O)NC(=O)NC3=O)C4=CC=C(C=C4)OC5=CC=CC=C5
DB06140,PubChemCID:10073773,CN1CCN(CC1)CC2=CN(C3=C2C=C(C=C3)OC)S(=O)(=O)C4=CC=CC=C4Br
DB11526,PubChemCID:10074640,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC(=CS4)C5=CN=CC=C5
DBSALT001104,PubChemCID:10077129,CCOC(=O)NC1CCC2C(C1)CC3C(C2C=CC4=NC=C(C=C4)C5=CC(=CC=C5)F)C(OC3=O)C.OS(=O)(=O)O
DB09030,PubChemCID:10077130,CCOC(=O)NC1CCC2C(C1)CC3C(C2C=CC4=NC=C(C=C4)C5=CC(=CC=C5)F)C(OC3=O)C
DB11688,PubChemCID:100773,CN(CC(=O)N)C(=O)N(CCCl)N=O
DB14137,PubChemCID:10078408,CCCCCCCCCCCCCCCC(=O)NCC(=O)NC(CCC(=O)N)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)O
DB01152,PubChemCID:10079874,CC1C=CC=CC=CC=CC=CC=CC=CC(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O
DBSALT001366,PubChemCID:10080104,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)[O-])I)N(C)C(=O)C)I.CC(=O)NC1=C(C(=C(C(=C1I)C(=O)[O-])I)N(C)C(=O)C)I.[Mg+2]
DB12383,PubChemCID:100802,C1C(C(OC1N2C=C(C(=NC2=O)N)Cl)CO)O
DB11584,PubChemCID:10083,C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=CC=C3)O
DB02869,PubChemCID:10086234,C1=CC=C(C=C1)CCC(C=CS(=O)(=O)C2=CC=CC=C2)N
DB07811,PubChemCID:10089048,CC1=C(C=C(C=C1)C(=O)NC2CC2)C3=C(C=C(C=C3)C4=NN=C(O4)C)C
DB11609,PubChemCID:10090,CCC(=O)C(CCN(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
DB11911,PubChemCID:10090485,CC1=NC(=CC=C1)C2=NN3CCCC3=C2C4=C5C=C(C=CC5=NC=C4)C(=O)N
DB07211,PubChemCID:10095865,CC(C(=O)N1CCOCC1)N2CCC(C2=O)NS(=O)(=O)C=C(C)C3=CC=C(S3)Cl
DB08882,PubChemCID:10096344,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C
DB00647,PubChemCID:10100,CCC(=O)OC(CC1=CC=CC=C1)(C2=CC=CC=C2)C(C)CN(C)C
DB13818,PubChemCID:10100751,C1(=C(C(=C(C(=C1Br)Br)Br)Br)[O-])[O-].[OH-].[Bi+3]
DB06738,PubChemCID:10101,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O
DBSALT000189,PubChemCID:10101,CCC(=O)C1(CCN(CC1)C)C2=CC(=CC=C2)O
DB16293,PubChemCID:101037910,CCC(C)C(C(=NCC(=NC(CCCCN)C(=NC(CC1=CC=CC=C1)C(=NC(CC(C)C)C(=NC(CCCCN)C(=NC(CCCCN)C(=NC(C)C(=NC(CCCCN)C(=NC(CCCCN)C(=NC(CC2=CC=CC=C2)C(=NCC(=NC(CCCCN)C(=NC(C)C(=NC(CC3=CC=CC=C3)C(=NC(C(C)C)C(=NC(CCCCN)C(=NC(C(C)CC)C(=NC(CC(C)C)C(=NC(CCCCN)C(=NC(CCCCN)C(=N)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)O)N=C(CN)O
DB02595,PubChemCID:101059193,CC(=O)NC1C(C(C(OC1OC2CC(NC2CO)C(=[NH+]CCS(=O)(=O)O)O)CO)OS(=O)(=O)O)O
DB15058,PubChemCID:10107393,CNC1=C(C=C(C=C1)C2=NC3=C(S2)C=C(C=C3)O)F
DB11269,PubChemCID:10111431,CCCCCCOC(=O)C1=CC=CC=C1C(=O)C2=C(C=C(C=C2)N(CC)CC)O
DB06724,PubChemCID:10112,C(=O)([O-])[O-].[Ca+2]
DB06589,PubChemCID:10113978,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N
DB13089,PubChemCID:10114,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
DB07946,PubChemCID:10114365,C1=CC=C(C=C1)C(CNC2=C(C(=C(C=C2)Cl)CC(=O)NCCON=C(N)N)F)(F)F
DB12540,PubChemCID:10116877,CC(CN(C1=CC=CC=N1)C(=O)C2=CC=C(C=C2)C#N)N3CCN(CC3)C4=C5C(=CC=C4)OCCO5
DB11864,PubChemCID:10117987,COCCOC1=CC=C(C=C1)N2CCN(CC2)CCN3C4=C(C=N3)C5=NC(=NN5C(=N4)N)C6=CC=CO6
DB07078,PubChemCID:10125830,COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=CC4=CC=CN4)C(=O)N3)O
DB16176,PubChemCID:10126114,C1CCC(CC1)CC(C(=O)NC(CCC(=O)O)C(=O)NCC(=O)O)N
DB11689,PubChemCID:10127622,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO
DBSALT002849,PubChemCID:101289815,CC(=O)OCC1=C(N2C(C(C2=O)N=C(CC#N)[O-])SC1)C(=O)O.[Na+]
DBSALT002033,PubChemCID:10128995,CC1CN(CCN1C(COC)C2=CC=C(C=C2)C(F)(F)F)C3(CCN(CC3)C(=O)C4=C(N=CN=C4C)C)C.Cl
DB11467,PubChemCID:101290202,CCC(C)C1C(=NC(C(=NC(=C)C(=NC(C(=NC23CCC(=NC2C4=CSC(=N4)C(C(OC(=O)C5=NC6=C(C=CC(C6O)N1)C(=C5)C(C)O)C)N=C(C7=CSC(=N7)C(N=C(C8CSC(=N8)C(=CC)N=C(C(N=C(C9=CSC3=N9)O)C(C)O)O)O)C(C)(C(C)O)O)O)C1=NC(=CS1)C(=NC(=C)C(=NC(=C)C(=N)O)O)O)O)C)O)O)C)O
DBSALT002822,PubChemCID:101297691,CN1C(=NN=N1)SCC2=C(N3C(C(C3=O)N=C(C(C4=CC=CC=C4)OC=O)[O-])SC2)C(=O)O.[Na+]
DB02039,PubChemCID:10130120,CC(=O)SCC(C(=O)O)N
DB14754,PubChemCID:10130337,C1=CC=C(C=C1)CC(COC(=O)N)N
DB05650,PubChemCID:10131000,CC1(CC(CC(N1O)(C)C)OC(=O)C2CC2)C
DB12527,PubChemCID:10131048,C1C2CN(CC2N1)C3=CC(=C(N=C3)Cl)Cl
DBSALT003084,PubChemCID:101314977,C1CC(=NC1C(=O)O)[O-].[Na+]
DB03589,PubChemCID:10132,C(=O)(C(=O)O)C(=O)O
DB06777,PubChemCID:10133,CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
DB06940,PubChemCID:10134493,CCNC(=O)C1=CN2C(=C1C)C(=NC=N2)NC3=C(C=CC(=C3)C(=O)NOC)C
DB07634,PubChemCID:101369,CC1=C(C(=CC=C1)C)OCC(=O)O
DB07220,PubChemCID:10138993,C1CCN(CC1)C2=CC=C(C=C2)CC(=O)NC3=NNC4=C3C=C(C=C4)N5CCCS5(=O)=O
DB03945,PubChemCID:1014,C[N+](C)(C)CCOP(=O)(O)O
DBSALT000929,PubChemCID:10140115,C1CN(CCN1CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO.Cl
DBSALT002750,PubChemCID:101417452,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C(C=C4C=C3S(=O)(=O)O)S(=O)(=O)[O-])N)[O-])C)N=NC5=C(C6=C(C=C(C=C6C=C5S(=O)(=O)O)S(=O)(=O)[O-])N)[O-].[Na+].[Na+].[Na+].[Na+]
DB15264,PubChemCID:10149052,CCCC(C)CC(CC(=O)O)CN
DB01738,PubChemCID:1015,C(COP(=O)(O)O)N
DB08208,PubChemCID:10150081,C#CC1=CC(=C(C=C1)NC2=C(C=CC(=C2F)F)C(=O)NOCCO)F
DB08449,PubChemCID:10150441,C1=CC2=C(N=C1)N(C=C2CC3=NC4=C(C(=CC(=C4S3)F)F)F)CC(=O)O
DB06362,PubChemCID:101524,CCN(CC)CCN1C(=O)C2=C3C4=C(C(=CC=C4)Cl)NC3=C5C(=C2C1=O)C6=C(N5C7C(C(C(C(O7)CO)OC)O)O)C(=CC=C6)Cl
DBSALT000387,PubChemCID:101526,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.Cl
DB06670,PubChemCID:10152654,CC(C)(CC(C(=O)NC1(CC1)C#N)NC(C2=CC=C(C=C2)C3=CC=C(C=C3)S(=O)(=O)C)C(F)(F)F)F
DBSALT003093,PubChemCID:101532,CNCC(C1=CC=C(C=C1)O)O.CNCC(C1=CC=C(C=C1)O)O.C(C(C(=O)O)O)(C(=O)O)O
DB16261,PubChemCID:10153627,CCCCC1(CN(C2=CC(=C(C=C2S(=O)(=O)N1)OCC(=O)NC(C3=CC=C(C=C3)O)C(=O)NC(CC)C(=O)O)SC)C4=CC=CC=C4)CCCC
DB02714,PubChemCID:101543,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)OP(=O)(O)O)O
DB03765,PubChemCID:101544,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)OP(=O)(O)O
DB15534,PubChemCID:10156,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)O)OC)OC)OC
DB07025,PubChemCID:10156987,C1CN(CCC1CN)CC2=CC3=C(C=C2)NC(=C3)C4=CC5=CC=CC=C5NC4=O
DB07029,PubChemCID:10157080,CC1=CC(=NC(=N1)OC2=CC=C(C=C2)N3C=CN=C3)OC4=CC5=C(C=C4)OCO5
DBSALT001425,PubChemCID:101584,CCN(CC)C(=O)C1CN2CCC3=CC(=C(C=C3C2CC1OC(=O)C)OC)OC.Cl
DBSALT000145,PubChemCID:10158453,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4.Cl
DBSALT001391,PubChemCID:101587,C[N+]1(CCN(CC1)CC(C2CCCCC2)(C3=CC=CC=C3)O)C.COS(=O)(=O)[O-]
DBSALT000820,PubChemCID:101597,C1CCN(CC1)CCC(C2CCCC2)(C3=CC=CC=C3)O.Cl
DB11233,PubChemCID:101599,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[Ag+].[Ag+].[Ag+]
DB11941,PubChemCID:10160238,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br
DB12594,PubChemCID:10161381,C1C2CC3CC1CC(C2)(C3)CNC(=O)C4=C(C=CC(=C4)CCCNCCCO)Cl
DB05137,PubChemCID:101616,CN1C(CCCC1CC(=O)C2=CC=CC=C2)CC(C3=CC=CC=C3)O
DBSALT002887,PubChemCID:101627506,CC(CCC(=NCCS(=O)(=O)O)[O-])C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C.[Na+]
DBSALT002659,PubChemCID:101633782,CC(C(=NC1C2N(C1=O)C(C(S2)(C)C)C(=O)O)[O-])OC3=CC=CC=C3.[K+]
DB13174,PubChemCID:10168,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
DBSALT002767,PubChemCID:101686448,CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C.CC1(C(N2C(S1)C(C2=O)N=C(CC3=CC=CC=C3)[O-])C(=O)[O-])C.[Ca+2]
DB02746,PubChemCID:1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O
DB16345,PubChemCID:10171240,C1=CNC(=O)NC1=O
DB11687,PubChemCID:10172827,CCNC1=CC2=C(C(=C1)O)C(=O)OC(C(C=CC(=O)C(C(CC=C2)O)O)C)C
DB08073,PubChemCID:10172943,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N
DB05611,PubChemCID:10173277,CC1=CC(=CC=C1)C=NNC2=CC(=NC(=N2)OCCC3=CC=CC=N3)N4CCOCC4
DB05048,PubChemCID:10174045,CCCCCCC(C)(C)C1=CC(=C(C(=C1)OC(=O)C=CC(=O)O)C2CC(=O)C3CC2C3(C)C)O
DB07422,PubChemCID:10174090,CC(COC1=C(C(=C(C(=C1F)F)F)F)F)(C(=O)NC2=CC(=C(C=C2)[N+](=O)[O-])C(F)(F)F)O
DBSALT000180,PubChemCID:10174505,CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
DBSALT003066,PubChemCID:101761393,C1=CN(C(=O)N=C1[O-])C2C(C(C(O2)COP(=O)([O-])OP(=O)(O)OP(=O)(O)OP(=O)([O-])OCC3C(C(C(O3)N4C=CC(=NC4=O)[O-])O)O)O)O.[Na+].[Na+].[Na+].[Na+]
DB14480,PubChemCID:10176265,CC(=O)NC(CS)C(=O)N
DBSALT001755,PubChemCID:10176341,C(C(C(=O)O)N)S.O.Cl
DB12125,PubChemCID:10176764,C1CN2CCC3(C2)C1OC4=C(C3)N=CC=C4
DB12379,PubChemCID:10177,C1=CC=C2C(=C1)C(=C(N2)O)C3=NC4=CC=CC=C4C3=O
DB14637,PubChemCID:101772,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CC(C4=CC(=O)C=CC34C)F)O)C)O
DB06771,PubChemCID:10178705,C1CCN(CC(C1)N)C2=C(C=C3C(=C2Cl)N(C=C(C3=O)C(=O)O)C4CC4)F
DB01979,PubChemCID:101798,COC1C(C(C(C(O1)CO)O)O)O
